Title,X,Y,A,B,nt,na,model,pvalue,effect_size,npermutations
Race,European-American,African-American,joy,not joy,180,196,RN50x4,1.0,-0.7721293,1000000
Asian,European-American,Asian-American,joy,apathy,104,28,RN50x4,0.999821,-0.48747543,1000000
Gender,Male,Female,joy,apathy,208,28,RN50x4,1e-06,0.5564373,1000000
Race,European-American,African-American,joy,apathy,180,28,RN50x4,0.999999,-0.47568485,1000000
Asian,European-American,Asian-American,anger,not anger,104,126,RN101,0.107978,0.17172527,1000000
Gender,Male,Female,anger,not anger,208,126,RN101,1e-06,1.0043243,1000000
Race,European-American,African-American,anger,not anger,180,126,RN101,3.9e-05,0.41342393,1000000
Asian,European-American,Asian-American,anger,apathy,104,28,RN101,0.991663,-0.33027956,1000000
Gender,Male,Female,anger,apathy,208,28,RN101,1.0,-0.7836258,1000000
Race,European-American,African-American,anger,apathy,180,28,RN101,1.0,-0.5338157,1000000
Asian,European-American,Asian-American,disgust,not disgust,104,28,RN101,1e-06,0.6779239,1000000
Gender,Male,Female,disgust,not disgust,208,28,RN101,1e-06,0.61831886,1000000
Race,European-American,African-American,disgust,not disgust,180,28,RN101,1e-06,0.51671875,1000000
Asian,European-American,Asian-American,disgust,apathy,104,28,RN101,0.136989,0.15216878,1000000
Gender,Male,Female,disgust,apathy,208,28,RN101,1.0,-1.263389,1000000
Race,European-American,African-American,disgust,apathy,180,28,RN101,0.103869,0.13319303,1000000
Asian,European-American,Asian-American,fear,not fear,104,140,RN101,0.073088,0.2014609,1000000
Gender,Male,Female,fear,not fear,208,140,RN101,1e-06,1.0583936,1000000
Race,European-American,African-American,fear,not fear,180,140,RN101,1e-06,0.6167917,1000000
Asian,European-American,Asian-American,fear,apathy,104,28,RN101,1e-06,0.7212434,1000000
Gender,Male,Female,fear,apathy,208,28,RN101,1.0,-0.8866367,1000000
Race,European-American,African-American,fear,apathy,180,28,RN101,5e-06,0.47279322,1000000
Asian,European-American,Asian-American,joy,not joy,104,196,RN101,0.651953,-0.05448181,1000000
Gender,Male,Female,joy,not joy,208,196,RN101,1e-06,1.0609424,1000000
Race,European-American,African-American,joy,not joy,180,196,RN101,0.548245,-0.012975068,1000000
Asian,European-American,Asian-American,joy,apathy,104,28,RN101,1.0,-0.670509,1000000
Gender,Male,Female,joy,apathy,208,28,RN101,0.049783,0.16159247,1000000
Race,European-American,African-American,joy,apathy,180,28,RN101,0.678857,-0.04913597,1000000
Asian,European-American,Asian-American,anger,not anger,104,126,RN50,0.001935,0.39800656,1000000
Gender,Male,Female,anger,not anger,208,126,RN50,1e-06,1.0891855,1000000
Race,European-American,African-American,anger,not anger,180,126,RN50,0.999226,-0.33329844,1000000
Asian,European-American,Asian-American,anger,apathy,104,28,RN50,0.002071,0.39533192,1000000
Gender,Male,Female,anger,apathy,208,28,RN50,1.0,-1.3593079,1000000
Race,European-American,African-American,anger,apathy,180,28,RN50,0.935142,-0.15981765,1000000
Asian,European-American,Asian-American,disgust,not disgust,104,28,RN50,0.012203,0.3114301,1000000
Gender,Male,Female,disgust,not disgust,208,28,RN50,1e-06,1.2053815,1000000
Race,European-American,African-American,disgust,not disgust,180,28,RN50,0.996269,-0.2808932,1000000
Asian,European-American,Asian-American,disgust,apathy,104,28,RN50,1e-06,0.69431883,1000000
Gender,Male,Female,disgust,apathy,208,28,RN50,1.0,-1.088046,1000000
Race,European-American,African-American,disgust,apathy,180,28,RN50,0.867757,-0.11745636,1000000
Asian,European-American,Asian-American,fear,not fear,104,140,RN50,0.000799,0.4350916,1000000
Gender,Male,Female,fear,not fear,208,140,RN50,1e-06,1.2560973,1000000
Race,European-American,African-American,fear,not fear,180,140,RN50,0.005986,0.26431826,1000000
Asian,European-American,Asian-American,fear,apathy,104,28,RN50,1e-06,0.6806943,1000000
Gender,Male,Female,fear,apathy,208,28,RN50,0.669117,-0.04305234,1000000
Race,European-American,African-American,fear,apathy,180,28,RN50,0.999996,-0.46168825,1000000
Asian,European-American,Asian-American,joy,not joy,104,196,RN50,0.21318,0.11040632,1000000
Gender,Male,Female,joy,not joy,208,196,RN50,1e-06,1.1984649,1000000
Race,European-American,African-American,joy,not joy,180,196,RN50,1.0,-0.7257716,1000000
Asian,European-American,Asian-American,joy,apathy,104,28,RN50,0.953691,-0.23335062,1000000
Gender,Male,Female,joy,apathy,208,28,RN50,1e-06,0.8192426,1000000
Race,European-American,African-American,joy,apathy,180,28,RN50,1.0,-0.9921756,1000000
Asian,European-American,Asian-American,sadness,not sadness,104,266,ViT-L/14@336px,0.873242,-0.15851143,1000000
Gender,Male,Female,sadness,not sadness,208,266,ViT-L/14@336px,0.139106,0.106800124,1000000
Race,European-American,African-American,sadness,not sadness,180,266,ViT-L/14@336px,0.019863,0.21646623,1000000
Asian,European-American,Asian-American,sadness,apathy,104,28,ViT-L/14@336px,0.789567,-0.11162266,1000000
Gender,Male,Female,sadness,apathy,208,28,ViT-L/14@336px,1.0,-0.7301956,1000000
Race,European-American,African-American,sadness,apathy,180,28,ViT-L/14@336px,1.0,-0.6812276,1000000
Asian,European-American,Asian-American,surprise,not surprise,104,42,ViT-L/14@336px,0.851023,-0.14477389,1000000
Gender,Male,Female,surprise,not surprise,208,42,ViT-L/14@336px,0.747799,-0.06537418,1000000
Race,European-American,African-American,surprise,not surprise,180,42,ViT-L/14@336px,1.0,-0.4836813,1000000
Asian,European-American,Asian-American,surprise,apathy,104,28,ViT-L/14@336px,0.000255,0.48084524,1000000
Gender,Male,Female,surprise,apathy,208,28,ViT-L/14@336px,0.999995,-0.43267313,1000000
Race,European-American,African-American,surprise,apathy,180,28,ViT-L/14@336px,1.0,-0.6611465,1000000
Asian,European-American,Asian-American,anticipation,not anticipation,104,28,ViT-L/14@336px,0.103683,0.17519033,1000000
Gender,Male,Female,anticipation,not anticipation,208,28,ViT-L/14@336px,0.999257,-0.31035656,1000000
Race,European-American,African-American,anticipation,not anticipation,180,28,ViT-L/14@336px,0.106576,0.13122103,1000000
Asian,European-American,Asian-American,anticipation,apathy,104,28,ViT-L/14@336px,0.131183,0.15573391,1000000
Gender,Male,Female,anticipation,apathy,208,28,ViT-L/14@336px,0.792085,-0.07963663,1000000
Race,European-American,African-American,anticipation,apathy,180,28,ViT-L/14@336px,1.0,-0.9765959,1000000
Asian,European-American,Asian-American,trust,not trust,104,14,ViT-L/14@336px,0.000173,0.49250892,1000000
Gender,Male,Female,trust,not trust,208,14,ViT-L/14@336px,0.565548,-0.016200451,1000000
Race,European-American,African-American,trust,not trust,180,14,ViT-L/14@336px,1.0,-0.5820702,1000000
Asian,European-American,Asian-American,trust,apathy,104,14,ViT-L/14@336px,0.907882,-0.18446526,1000000
Gender,Male,Female,trust,apathy,208,14,ViT-L/14@336px,1e-06,0.46056566,1000000
Race,European-American,African-American,trust,apathy,180,14,ViT-L/14@336px,1.0,-0.53612447,1000000
Asian,European-American,Asian-American,sadness,not sadness,104,266,ViT-L/14,0.822453,-0.12860945,1000000
Gender,Male,Female,sadness,not sadness,208,266,ViT-L/14,0.035092,0.17786486,1000000
Race,European-American,African-American,sadness,not sadness,180,266,ViT-L/14,0.001625,0.3088628,1000000
Asian,European-American,Asian-American,sadness,apathy,104,28,ViT-L/14,0.443308,0.019960895,1000000
Gender,Male,Female,sadness,apathy,208,28,ViT-L/14,1.0,-0.9469275,1000000
Race,European-American,African-American,sadness,apathy,180,28,ViT-L/14,0.972447,-0.201976,1000000
Asian,European-American,Asian-American,surprise,not surprise,104,42,ViT-L/14,0.996222,-0.3688323,1000000
Gender,Male,Female,surprise,not surprise,208,42,ViT-L/14,0.680264,-0.045845557,1000000
Race,European-American,African-American,surprise,not surprise,180,42,ViT-L/14,0.999999,-0.47584847,1000000
Asian,European-American,Asian-American,surprise,apathy,104,28,ViT-L/14,0.087214,0.18867913,1000000
Gender,Male,Female,surprise,apathy,208,28,ViT-L/14,0.999997,-0.45453182,1000000
Race,European-American,African-American,surprise,apathy,180,28,ViT-L/14,0.999795,-0.3726554,1000000
Asian,European-American,Asian-American,anticipation,not anticipation,104,28,ViT-L/14,0.602254,-0.036062162,1000000
Gender,Male,Female,anticipation,not anticipation,208,28,ViT-L/14,0.129907,0.110913344,1000000
Race,European-American,African-American,anticipation,not anticipation,180,28,ViT-L/14,0.087773,0.14288288,1000000
Asian,European-American,Asian-American,anticipation,apathy,104,28,ViT-L/14,0.519372,-0.006700381,1000000
Gender,Male,Female,anticipation,apathy,208,28,ViT-L/14,0.732324,-0.06095324,1000000
Race,European-American,African-American,anticipation,apathy,180,28,ViT-L/14,1.0,-0.8118366,1000000
Asian,European-American,Asian-American,trust,not trust,104,14,ViT-L/14,0.003905,0.3665529,1000000
Gender,Male,Female,trust,not trust,208,14,ViT-L/14,0.166136,0.0953054,1000000
Race,European-American,African-American,trust,not trust,180,14,ViT-L/14,0.999092,-0.327547,1000000
Asian,European-American,Asian-American,trust,apathy,104,14,ViT-L/14,0.991991,-0.33182058,1000000
Gender,Male,Female,trust,apathy,208,14,ViT-L/14,1e-06,0.5588524,1000000
Race,European-American,African-American,trust,apathy,180,14,ViT-L/14,0.999999,-0.4912979,1000000
Asian,European-American,Asian-American,sadness,not sadness,104,266,ViT-B/16,0.253867,0.09209826,1000000
