Title,X,Y,A,B,nt,na,Target,model,pvalue,effect_size,npermutations
Skin-Tone,Light,Dark,Pleasant,Unpleasant,7,55,Valence,RN101,0.8135198135198135,-0.4933526,3432
Weapon,White,Black,Tool,Weapon,6,7,Weapon,RN101,0.0638528138528138,0.9069755,924
Weapon,White,Black,Pleasant,Unpleasant,6,9,Valence,RN101,0.2510822510822511,0.4364955,924
Weapon,White,Black,Tool,Weapon,6,9,Weapon,RN101,0.0638528138528138,0.9069755,924
Weight,Thin,Fat,Pleasant,Unpleasant,10,55,Valence,RN101,0.0001677888674792,1.4599642,184756
Age,Young,Old,Pleasant,Unpleasant,6,55,Valence,RN50x4,0.9816017316017316,-1.1518278,924
Arab-Muslim,Other-People,Arab-Muslim,Pleasant,Unpleasant,10,55,Valence,RN50x4,0.011009114724285,0.9394475,184756
Asian,European-American,Asian-American,US,World,6,6,Native,RN50x4,0.604978354978355,-0.13387115,924
Asian,European-American,Asian-American,Pleasant,Unpleasant,6,6,Valence,RN50x4,0.8203463203463204,-0.5467647,924
Disabled,Disabled,Abled,Pleasant,Unpleasant,4,55,Valence,RN50x4,0.1142857142857142,0.86395574,70
Gender,Male,Female,Career,Family,40,21,Gender,RN50x4,0.002838,0.6101231,1000000
Gender,Male,Female,Pleasant,Unpleasant,40,21,Valence,RN50x4,0.999727,-0.7456574,1000000
Gender,Male,Female,Science,Liberal-Arts,40,21,Gender,RN50x4,0.4069,0.052973032,1000000
Insect-Flower,Flower,Insect,Pleasant,Unpleasant,35,55,Valence,RN50x4,1e-06,1.9107119,1000000
Native,Euro,Native,US,World,8,5,Native,RN50x4,1.0,-1.7594763,12870
Native,Euro,Native,Pleasant,Unpleasant,8,5,Valence,RN50x4,0.9836829836829836,-1.033857,12870
Race,European-American,African-American,Pleasant,Unpleasant,6,55,Valence,RN50x4,0.0032467532467532,1.572978,924
Religion,Christianity,Judaism,Pleasant,Unpleasant,7,55,Valence,RN50x4,0.2715617715617716,0.33628768,3432
Sexuality,Gay,Straight,Pleasant,Unpleasant,9,55,Valence,RN50x4,0.6839366515837104,-0.23197767,48620
Skin-Tone,Light,Dark,Pleasant,Unpleasant,7,55,Valence,RN50x4,0.9918414918414918,-1.1763315,3432
Weapon,White,Black,Tool,Weapon,6,7,Weapon,RN50x4,0.3863636363636363,0.17219494,924
Weapon,White,Black,Pleasant,Unpleasant,6,9,Valence,RN50x4,0.0097402597402597,1.3001548,924
Weapon,White,Black,Tool,Weapon,6,9,Weapon,RN50x4,0.3863636363636363,0.17219494,924
Weight,Thin,Fat,Pleasant,Unpleasant,10,55,Valence,RN50x4,0.0123243629435579,0.9862626,184756
Age,Young,Old,Pleasant,Unpleasant,6,55,Valence,RN50x16,0.7673160173160173,-0.46771327,924
Arab-Muslim,Other-People,Arab-Muslim,Pleasant,Unpleasant,10,55,Valence,RN50x16,0.0063597393318755,1.0128815,184756
Asian,European-American,Asian-American,US,World,6,6,Native,RN50x16,0.6222943722943723,-0.1926236,924
Asian,European-American,Asian-American,Pleasant,Unpleasant,6,6,Valence,RN50x16,0.1915584415584415,0.5218257,924
Disabled,Disabled,Abled,Pleasant,Unpleasant,4,55,Valence,RN50x16,0.1857142857142857,0.62693757,70
Gender,Male,Female,Career,Family,40,21,Gender,RN50x16,0.042242,0.38696557,1000000
Gender,Male,Female,Pleasant,Unpleasant,40,21,Valence,RN50x16,0.999452,-0.7097401,1000000
Gender,Male,Female,Science,Liberal-Arts,40,21,Gender,RN50x16,0.068681,0.3324142,1000000
Insect-Flower,Flower,Insect,Pleasant,Unpleasant,35,55,Valence,RN50x16,1e-06,1.9043537,1000000
Native,Euro,Native,US,World,8,5,Native,RN50x16,0.944133644133644,-0.80683357,12870
Native,Euro,Native,Pleasant,Unpleasant,8,5,Valence,RN50x16,0.9456876456876456,-0.80599785,12870
Race,European-American,African-American,Pleasant,Unpleasant,6,55,Valence,RN50x16,0.0032467532467532,1.4330633,924
Religion,Christianity,Judaism,Pleasant,Unpleasant,7,55,Valence,RN50x16,0.1244172494172494,0.63172543,3432
Sexuality,Gay,Straight,Pleasant,Unpleasant,9,55,Valence,RN50x16,0.7767791032496915,-0.37403283,48620
Skin-Tone,Light,Dark,Pleasant,Unpleasant,7,55,Valence,RN50x16,0.935897435897436,-0.81884706,3432
Weapon,White,Black,Tool,Weapon,6,7,Weapon,RN50x16,0.0346320346320346,1.0641328,924
Weapon,White,Black,Pleasant,Unpleasant,6,9,Valence,RN50x16,0.0584415584415584,0.9207897,924
Weapon,White,Black,Tool,Weapon,6,9,Weapon,RN50x16,0.0346320346320346,1.0641328,924
Weight,Thin,Fat,Pleasant,Unpleasant,10,55,Valence,RN50x16,0.0006657429258048,1.3255115,184756
Age,Young,Old,Pleasant,Unpleasant,6,55,Valence,RN50x64,0.997835497835498,-1.3255967,924
Arab-Muslim,Other-People,Arab-Muslim,Pleasant,Unpleasant,10,55,Valence,RN50x64,0.1180800623525081,0.5444262,184756
Asian,European-American,Asian-American,US,World,6,6,Native,RN50x64,0.6666666666666666,-0.2597795,924
Asian,European-American,Asian-American,Pleasant,Unpleasant,6,6,Valence,RN50x64,0.0248917748917748,1.128409,924
Disabled,Disabled,Abled,Pleasant,Unpleasant,4,55,Valence,RN50x64,0.2428571428571428,0.54132605,70
Gender,Male,Female,Career,Family,40,21,Gender,RN50x64,0.045057,0.38038978,1000000
Gender,Male,Female,Pleasant,Unpleasant,40,21,Valence,RN50x64,0.997695,-0.6276004,1000000
Gender,Male,Female,Science,Liberal-Arts,40,21,Gender,RN50x64,0.311489,0.11094736,1000000
Insect-Flower,Flower,Insect,Pleasant,Unpleasant,35,55,Valence,RN50x64,1e-06,1.8804005,1000000
Native,Euro,Native,US,World,8,5,Native,RN50x64,0.0957264957264957,0.6669857,12870
Native,Euro,Native,Pleasant,Unpleasant,8,5,Valence,RN50x64,0.981041181041181,-1.0245525,12870
Race,European-American,African-American,Pleasant,Unpleasant,6,55,Valence,RN50x64,0.0021645021645021,1.3718978,924
Religion,Christianity,Judaism,Pleasant,Unpleasant,7,55,Valence,RN50x64,0.3525641025641026,0.21539001,3432
Sexuality,Gay,Straight,Pleasant,Unpleasant,9,55,Valence,RN50x64,0.8356643356643356,-0.47812906,48620
Skin-Tone,Light,Dark,Pleasant,Unpleasant,7,55,Valence,RN50x64,0.7383449883449883,-0.35489982,3432
Weapon,White,Black,Tool,Weapon,6,7,Weapon,RN50x64,0.9307359307359307,-0.8597562,924
Weapon,White,Black,Pleasant,Unpleasant,6,9,Valence,RN50x64,0.0064935064935064,1.3354515,924
Weapon,White,Black,Tool,Weapon,6,9,Weapon,RN50x64,0.9307359307359307,-0.8597562,924
Weight,Thin,Fat,Pleasant,Unpleasant,10,55,Valence,RN50x64,3.78878087856416e-05,1.5767764,184756
Age,Young,Old,Pleasant,Unpleasant,6,55,Valence,ViT-B/32,0.3722943722943723,0.17784302,924
Arab-Muslim,Other-People,Arab-Muslim,Pleasant,Unpleasant,10,55,Valence,ViT-B/32,0.0180400095260776,0.9011826,184756
Asian,European-American,Asian-American,US,World,6,6,Native,ViT-B/32,0.0075757575757575,1.3820593,924
Asian,European-American,Asian-American,Pleasant,Unpleasant,6,6,Valence,ViT-B/32,0.9956709956709956,-1.2515104,924
Disabled,Disabled,Abled,Pleasant,Unpleasant,4,55,Valence,ViT-B/32,0.3,0.497309,70
Gender,Male,Female,Career,Family,40,21,Gender,ViT-B/32,0.009652,0.51959056,1000000
Gender,Male,Female,Pleasant,Unpleasant,40,21,Valence,ViT-B/32,0.999596,-0.7250772,1000000
Gender,Male,Female,Science,Liberal-Arts,40,21,Gender,ViT-B/32,0.249097,0.15235615,1000000
Insect-Flower,Flower,Insect,Pleasant,Unpleasant,35,55,Valence,ViT-B/32,1e-06,1.922489,1000000
Native,Euro,Native,US,World,8,5,Native,ViT-B/32,0.871950271950272,-0.58130556,12870
Native,Euro,Native,Pleasant,Unpleasant,8,5,Valence,ViT-B/32,0.0093240093240093,1.0929089,12870
Race,European-American,African-American,Pleasant,Unpleasant,6,55,Valence,ViT-B/32,0.2251082251082251,0.45748362,924
Religion,Christianity,Judaism,Pleasant,Unpleasant,7,55,Valence,ViT-B/32,0.3563519813519814,0.20298956,3432
