Target,X,Y,A,B,nt,na,Attribute,model,pvalue,effect_size,npermutations
Weight,Thin,Fat,Pleasant,Unpleasant,10,55,Valence,RN50x64,3.78878087856416e-05,1.5767776,184756
Age,Young,Old,Pleasant,Unpleasant,6,55,Valence,ViT-B/32,0.3722943722943723,0.17784211,924
Arab-Muslim,Other-People,Arab-Muslim,Pleasant,Unpleasant,10,55,Valence,ViT-B/32,0.0180400095260776,0.901183,184756
Asian,European-American,Asian-American,American,Foreign,6,6,Native,ViT-B/32,0.3484848484848485,0.24961668,924
Asian,European-American,Asian-American,Pleasant,Unpleasant,6,55,Valence,ViT-B/32,0.9956709956709956,-1.2515086,924
Disabled,Disabled,Abled,Pleasant,Unpleasant,4,55,Valence,ViT-B/32,0.3,0.49730662,70
Gender,Male,Female,Career,Family,40,21,Gender,ViT-B/32,0.009652,0.51959085,1000000
Gender,Male,Female,Pleasant,Unpleasant,40,55,Valence,ViT-B/32,0.999596,-0.7250783,1000000
Gender,Male,Female,Science,Liberal-Arts,40,21,Gender,ViT-B/32,0.249094,0.15235837,1000000
Insect-Flower,Flower,Insect,Pleasant,Unpleasant,35,55,Valence,ViT-B/32,1e-06,1.9224889,1000000
Native,Euro,Native,US,World,8,5,Native,ViT-B/32,0.871950271950272,-0.58130187,12870
Native,Euro,Native,Pleasant,Unpleasant,8,55,Valence,ViT-B/32,0.0093240093240093,1.0929104,12870
Race,European-American,African-American,Pleasant,Unpleasant,6,55,Valence,ViT-B/32,0.2251082251082251,0.4574799,924
Religion,Christianity,Judaism,Pleasant,Unpleasant,7,55,Valence,ViT-B/32,0.3563519813519814,0.20299071,3432
Sexuality,Gay,Straight,Pleasant,Unpleasant,9,55,Valence,ViT-B/32,0.868469765528589,-0.541095,48620
Skin-Tone,Light,Dark,Pleasant,Unpleasant,7,55,Valence,ViT-B/32,0.907051282051282,-0.72849864,3432
Weapon,White,Black,Tool-modern,Weapon-modern,6,9,Weapon (Modern),ViT-B/32,0.8906926406926406,-0.7508956,924
